Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
C5,C0402,Bottom,402,4.114,2.032,0,Ceramic Chip Capacitor - Standard
C3,C0402,Bottom,402,21.132,6.604,0,Ceramic Chip Capacitor - Standard
C2,4.7uF,Bottom,FP-T491B475K016AT-MFG,22.5902,10.8966,0,"CAP TANT 4.7UF 10% 16V 1411, T491B475K016AT"
C1,C0402,Bottom,402,21.132,7.874,0,Ceramic Chip Capacitor - Standard
U5,CSTCE16M0V53-R0,Top,MURA-CSTCE_V-3_V,19.7218,12.0283,0,"Ceramic Resonator, 16 MHz with Built-in Capacitance, Thickness Expander Mode, Initial Frequency Tolerance +/- 0.5%, Load Capacity 15 pF, -20 to 80 degC, 3.2 x 1.3 x 1 mm SMD, RoHS, Reel"
MH4,Mounting_Hole_NP_7.4mm_3.2mmNPD,Top,Mounting_Hole_NP_7.4mm_3.2mmNPD,39.278,0,90,Mounting_Hole_NonPlated_7.4mm_3.2mmNonPlatedDrill
MH3,Mounting_Hole_NP_7.4mm_3.2mmNPD,Top,Mounting_Hole_NP_7.4mm_3.2mmNPD,-2.86,15.22,90,Mounting_Hole_NonPlated_7.4mm_3.2mmNonPlatedDrill
MH2,Mounting_Hole_NP_7.4mm_3.2mmNPD,Top,Mounting_Hole_NP_7.4mm_3.2mmNPD,39.278,15.24,90,Mounting_Hole_NonPlated_7.4mm_3.2mmNonPlatedDrill
MH1,Mounting_Hole_NP_7.4mm_3.2mmNPD,Top,Mounting_Hole_NP_7.4mm_3.2mmNPD,-2.86,0.02,90,Mounting_Hole_NonPlated_7.4mm_3.2mmNonPlatedDrill
U4,LM1117MPX-5V,Bottom,DCY0004A_L,29.64,5.72,180,"800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free"
U3,TYPE-C-31-M-12,Top,TYPE-C-31-M-12,-0.2801,7.6398,90,TYPE-C-31-M-12
U2,FT232RL,Bottom,FTDI-SSOP-28_M,9.24,7.62,90,IC USB FS SERIAL UART 28-SSOP
U1,ATMEGA328P-MUR,Top,FP-32M1-A-IPC_C,16.64,7.62,225,IC MCU 8BIT 32KB FLASH 32VQFN
SW1,"SMD,3x4x2.5mm Tactile Switches ROHS",Top,"SMD,3x4x2.5mm_Tactile_Switches_ROHS",25.34,7.555,90,
R10,1k,Bottom,RES_0402,24.74,6.92,270,Resistor SMD 0402
R9,1k,Bottom,RES_0402,16.44,12.52,180,Resistor SMD 0402
R8,5k1,Top,RES_0402,6.138,4.826,180,Resistor SMD 0402
R7,5k1,Top,RES_0402,6.138,10.414,180,Resistor SMD 0402
R6,1k,Bottom,RES_0402,17.8492,7.4422,180,Resistor SMD 0402
R5,1k,Bottom,RES_0402,21.032,3.302,0,Resistor SMD 0402
R4,1k,Bottom,RES_0402,17.8492,9.144,180,Resistor SMD 0402
R3,1k,Bottom,RES_0402,17.8492,5.715,0,Resistor SMD 0402
R2,1k,Bottom,RES_0402,17.8492,3.9116,0,Resistor SMD 0402
R1,1k,Bottom,RES_0402,21.032,5.08,0,Resistor SMD 0402
LED4,LED_0402_ORANGE,Top,LED_0402,29.34,6.12,180,LED SMD 0402 Orange
LED3,LED_0402_ORANGE,Top,LED_0402,29.34,3.62,180,LED SMD 0402 Orange
LED2,LED_0402_ORANGE,Top,LED_0402,29.44,9.12,0,LED SMD 0402 Orange
LED1,LED_0402_GREEN,Top,LED_0402,29.44,11.62,0,LED SMD 0402 Green
JP3,TSW-115-07-G-S,Bottom,FP-TSW-115-07-G-S-MFG,17.78,0,0,CONN HEADER VERT 15POS 2.54MM
JP2,TSW-115-07-G-S,Bottom,FP-TSW-115-07-G-S-MFG,17.78,15.24,0,CONN HEADER VERT 15POS 2.54MM
JP1,Header_Male 2x03 2.54mm,Top,Header_Male_2x03_2.54mm,37.4746,7.62,180,Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Thru-Hole
D2,SS1P3L-M3_84A,Bottom,SS1P3LM384A,28.7695,10.922,0,Schottky Diode
D1,USBLC6-2SC6,Top,STM-SOT23-6L_V,6.604,7.62,180,"Very low capacitance ESD protection, 3.5 pF, -40 to 125 degC, 6-Pin SOT23, RoHS, Tape and Reel"
C11,C0402,Bottom,402,24.74,4.22,90,Ceramic Chip Capacitor - Standard
C10,100n,Bottom,CAP_0402_16V,-1.06,6.62,90,Capacitor SMD 0402 16V
C9,4.7uF,Bottom,FP-T491B475K016AT-MFG,1.74,7.62,270,"CAP TANT 4.7UF 10% 16V 1411, T491B475K016AT"
C6,100n,Bottom,CAP_0402_16V,6.8422,13.081,180,Capacitor SMD 0402 16V
C4,100n,Bottom,CAP_0402_16V,13.3112,2.1336,180,Capacitor SMD 0402 16V
